theta0,theta1,is_valid
13,-5,True
13,-3,True
13,-1,True
13,1,True
13,3,True
13,5,True
13,7,True
13,9,True
13,11,True
13,13,True
13,15,True
13,17,True
13,19,True
13,21,True
13,23,True
13,25,True
13,27,True
13,29,True
13,31,False
13,33,False
13,35,False
15,-35,False
15,-33,False
15,-31,False
15,-29,False
15,-27,False
15,-25,False
15,-23,False
15,-21,False
15,-19,False
15,-17,False
15,-15,False
15,-13,True
15,-11,True
15,-9,True
15,-7,True
15,-5,True
15,-3,True
15,-1,True
15,1,True
15,3,True
15,5,True
15,7,True
15,9,True
15,11,True
15,13,True
15,15,True
15,17,True
15,19,True
15,21,True
15,23,True
15,25,True
15,27,True
15,29,True
15,31,True
15,33,False
15,35,False
17,-35,False
17,-33,False
17,-31,False
17,-29,False
17,-27,False
17,-25,False
17,-23,False
17,-21,False
17,-19,False
17,-17,False
17,-15,False
17,-13,False
17,-11,True
17,-9,True
17,-7,True
17,-5,True
17,-3,True
17,-1,True
17,1,True
17,3,True
17,5,True
17,7,True
17,9,True
17,11,True
17,13,True
17,15,True
17,17,True
17,19,True
17,21,True
17,23,True
17,25,True
17,27,True
17,29,True
17,31,True
17,33,False
17,35,False
19,-35,False
19,-33,False
19,-31,False
19,-29,False
19,-27,False
19,-25,False
19,-23,False
19,-21,False
19,-19,False
19,-17,False
19,-15,False
19,-13,False
19,-11,False
19,-9,True
19,-7,True
19,-5,True
19,-3,True
19,-1,True
19,1,True
19,3,True
19,5,True
19,7,True
19,9,True
19,11,True
19,13,True
19,15,True
19,17,True
19,19,True
19,21,True
19,23,True
19,25,True
19,27,True
19,29,True
19,31,True
19,33,True
19,35,False
21,-35,False
21,-33,False
21,-31,False
21,-29,False
21,-27,False
21,-25,False
21,-23,False
21,-21,False
21,-19,False
21,-17,False
21,-15,False
21,-13,False
21,-11,False
21,-9,True
21,-7,True
21,-5,True
21,-3,True
21,-1,True
21,1,True
21,3,True
21,5,True
21,7,True
21,9,True
21,11,True
21,13,True
21,15,True
21,17,True
21,19,True
21,21,True
21,23,True
21,25,True
21,27,True
21,29,True
21,31,True
21,33,True
