theta0,theta1,theta2,is_valid
-20,30,-25,False
-20,30,-20,False
-20,30,-15,False
-20,30,-10,False
-20,30,-5,False
-20,30,0,False
-20,30,5,False
-20,30,10,False
-20,30,15,False
-20,30,20,False
-20,30,25,False
-20,30,30,False
-20,30,35,False
-20,35,-35,False
-20,35,-30,False
-20,35,-25,False
-20,35,-20,False
-20,35,-15,False
-20,35,-10,False
-20,35,-5,False
-20,35,0,False
-20,35,5,False
-20,35,10,False
-20,35,15,False
-20,35,20,False
-20,35,25,False
-20,35,30,False
-20,35,35,False
-15,-35,-35,False
-15,-35,-30,False
-15,-35,-25,False
-15,-35,-20,False
-15,-35,-15,False
-15,-35,-10,False
-15,-35,-5,False
-15,-35,0,False
-15,-35,5,False
-15,-35,10,False
-15,-35,15,False
-15,-35,20,False
-15,-35,25,False
-15,-35,30,False
-15,-35,35,False
-15,-30,-35,False
-15,-30,-30,True
-15,-30,-25,True
-15,-30,-20,True
-15,-30,-15,True
-15,-30,-10,True
-15,-30,-5,True
-15,-30,0,False
-15,-30,5,False
-15,-30,10,False
-15,-30,15,False
-15,-30,20,False
-15,-30,25,False
-15,-30,30,False
-15,-30,35,False
-15,-25,-35,False
-15,-25,-30,True
-15,-25,-25,True
-15,-25,-20,True
-15,-25,-15,True
-15,-25,-10,True
-15,-25,-5,True
-15,-25,0,True
-15,-25,5,True
-15,-25,10,False
-15,-25,15,False
-15,-25,20,False
-15,-25,25,False
-15,-25,30,False
-15,-25,35,False
-15,-20,-35,False
-15,-20,-30,True
-15,-20,-25,True
-15,-20,-20,True
-15,-20,-15,True
-15,-20,-10,True
-15,-20,-5,True
-15,-20,0,True
-15,-20,5,True
-15,-20,10,True
-15,-20,15,False
-15,-20,20,False
-15,-20,25,False
-15,-20,30,False
-15,-20,35,False
-15,-15,-35,False
-15,-15,-30,True
-15,-15,-25,True
-15,-15,-20,True
-15,-15,-15,True
-15,-15,-10,True
-15,-15,-5,True
-15,-15,0,True
-15,-15,5,True
-15,-15,10,True
-15,-15,15,True
-15,-15,20,False
-15,-15,25,False
-15,-15,30,False
-15,-15,35,False
-15,-10,-35,False
-15,-10,-30,False
-15,-10,-25,True
-15,-10,-20,True
-15,-10,-15,True
-15,-10,-10,True
-15,-10,-5,True
-15,-10,0,True
-15,-10,5,True
-15,-10,10,True
-15,-10,15,True
-15,-10,20,False
-15,-10,25,False
-15,-10,30,False
-15,-10,35,False
-15,-5,-35,False
-15,-5,-30,False
-15,-5,-25,True
-15,-5,-20,True
-15,-5,-15,True
-15,-5,-10,True
-15,-5,-5,True
-15,-5,0,True
-15,-5,5,True
-15,-5,10,True
-15,-5,15,True
-15,-5,20,True
-15,-5,25,False
-15,-5,30,False
-15,-5,35,False
-15,0,-35,False
-15,0,-30,False
-15,0,-25,False
-15,0,-20,True
-15,0,-15,True
-15,0,-10,True
-15,0,-5,True
-15,0,0,True
-15,0,5,True
-15,0,10,True
-15,0,15,True
-15,0,20,True
-15,0,25,True
-15,0,30,False
-15,0,35,False
-15,5,-35,False
-15,5,-30,False
-15,5,-25,False
-15,5,-20,False
-15,5,-15,True
-15,5,-10,True
-15,5,-5,True
-15,5,0,True
-15,5,5,True
-15,5,10,True
-15,5,15,True
-15,5,20,True
-15,5,25,True
-15,5,30,False
-15,5,35,False
-15,10,-35,False
-15,10,-30,False
-15,10,-25,False
-15,10,-20,False
-15,10,-15,True
-15,10,-10,True
-15,10,-5,True
-15,10,0,True
-15,10,5,True
-15,10,10,True
-15,10,15,True
-15,10,20,True
-15,10,25,True
-15,10,30,True
-15,10,35,False
-15,15,-35,False
-15,15,-30,False
-15,15,-25,False
-15,15,-20,False
-15,15,-15,False
-15,15,-10,False
-15,15,-5,False
-15,15,0,False
-15,15,5,False
-15,15,10,False
-15,15,15,True
-15,15,20,True
-15,15,25,True
-15,15,30,True
-15,15,35,False
-15,20,-35,False
-15,20,-30,False
-15,20,-25,False
-15,20,-20,False
-15,20,-15,False
-15,20,-10,False
-15,20,-5,False
-15,20,0,False
-15,20,5,False
-15,20,10,False
-15,20,15,False
-15,20,20,False
-15,20,25,False
-15,20,30,False
-15,20,35,False
-15,25,-35,False
-15,25,-30,False
-15,25,-25,False
-15,25,-20,False
-15,25,-15,False
-15,25,-10,False
-15,25,-5,False
-15,25,0,False
-15,25,5,False
-15,25,10,False
-15,25,15,False
-15,25,20,False
-15,25,25,False
-15,25,30,False
-15,25,35,False
-15,30,-35,False
-15,30,-30,False
-15,30,-25,False
-15,30,-20,False
-15,30,-15,False
-15,30,-10,False
-15,30,-5,False
-15,30,0,False
-15,30,5,False
-15,30,10,False
-15,30,15,False
-15,30,20,False
-15,30,25,False
-15,30,30,False
-15,30,35,False
-15,35,-35,False
-15,35,-30,False
-15,35,-25,False
-15,35,-20,False
-15,35,-15,False
-15,35,-10,False
-15,35,-5,False
-15,35,0,False
-15,35,5,False
-15,35,10,False
-15,35,15,False
-15,35,20,False
-15,35,25,False
-15,35,30,False
-15,35,35,False
-10,-35,-35,False
-10,-35,-30,False
-10,-35,-25,False
-10,-35,-20,False
-10,-35,-15,False
-10,-35,-10,False
-10,-35,-5,False
-10,-35,0,False
-10,-35,5,False
-10,-35,10,False
-10,-35,15,False
-10,-35,20,False
-10,-35,25,False
-10,-35,30,False
-10,-35,35,False
-10,-30,-35,False
-10,-30,-30,True
-10,-30,-25,True
-10,-30,-20,True
-10,-30,-15,True
-10,-30,-10,True
-10,-30,-5,False
-10,-30,0,False
-10,-30,5,False
-10,-30,10,False
-10,-30,15,False
-10,-30,20,False
-10,-30,25,False
-10,-30,30,False
-10,-30,35,False
-10,-25,-35,False
-10,-25,-30,True
-10,-25,-25,True
-10,-25,-20,True
-10,-25,-15,True
-10,-25,-10,True
-10,-25,-5,True
-10,-25,0,True
-10,-25,5,True
-10,-25,10,False
-10,-25,15,False
-10,-25,20,False
-10,-25,25,False
-10,-25,30,False
-10,-25,35,False
-10,-20,-35,False
-10,-20,-30,True
-10,-20,-25,True
-10,-20,-20,True
-10,-20,-15,True
-10,-20,-10,True
-10,-20,-5,True
-10,-20,0,True
-10,-20,5,True
-10,-20,10,True
-10,-20,15,False
-10,-20,20,False
-10,-20,25,False
-10,-20,30,False
-10,-20,35,False
-10,-15,-35,False
-10,-15,-30,True
-10,-15,-25,True
-10,-15,-20,True
-10,-15,-15,True
-10,-15,-10,True
-10,-15,-5,True
-10,-15,0,True
-10,-15,5,True
-10,-15,10,True
-10,-15,15,True
-10,-15,20,False
-10,-15,25,False
-10,-15,30,False
-10,-15,35,False
-10,-10,-35,False
-10,-10,-30,False
-10,-10,-25,True
-10,-10,-20,True
-10,-10,-15,True
-10,-10,-10,True
-10,-10,-5,True
-10,-10,0,True
-10,-10,5,True
-10,-10,10,True
-10,-10,15,True
-10,-10,20,False
-10,-10,25,False
-10,-10,30,False
-10,-10,35,False
-10,-5,-35,False
-10,-5,-30,False
-10,-5,-25,True
-10,-5,-20,True
-10,-5,-15,True
-10,-5,-10,True
-10,-5,-5,True
-10,-5,0,True
-10,-5,5,True
-10,-5,10,True
-10,-5,15,True
-10,-5,20,True
-10,-5,25,False
-10,-5,30,False
-10,-5,35,False
-10,0,-35,False
-10,0,-30,False
-10,0,-25,False
-10,0,-20,True
-10,0,-15,True
-10,0,-10,True
-10,0,-5,True
-10,0,0,True
-10,0,5,True
-10,0,10,True
-10,0,15,True
-10,0,20,True
-10,0,25,True
-10,0,30,False
-10,0,35,False
-10,5,-35,False
-10,5,-30,False
-10,5,-25,False
-10,5,-20,True
-10,5,-15,True
-10,5,-10,True
-10,5,-5,True
-10,5,0,True
-10,5,5,True
-10,5,10,True
-10,5,15,True
-10,5,20,True
-10,5,25,True
-10,5,30,False
-10,5,35,False
-10,10,-35,False
-10,10,-30,False
-10,10,-25,False
-10,10,-20,False
-10,10,-15,True
-10,10,-10,True
-10,10,-5,True
-10,10,0,True
-10,10,5,True
-10,10,10,True
-10,10,15,True
-10,10,20,True
-10,10,25,True
-10,10,30,True
-10,10,35,False
-10,15,-35,False
-10,15,-30,False
-10,15,-25,False
-10,15,-20,False
-10,15,-15,False
-10,15,-10,True
-10,15,-5,True
-10,15,0,True
-10,15,5,True
-10,15,10,True
-10,15,15,True
-10,15,20,True
-10,15,25,True
-10,15,30,True
-10,15,35,False
-10,20,-35,False
-10,20,-30,False
-10,20,-25,False
-10,20,-20,False
-10,20,-15,False
-10,20,-10,False
-10,20,-5,False
-10,20,0,False
-10,20,5,True
-10,20,10,True
-10,20,15,True
-10,20,20,True
-10,20,25,True
-10,20,30,True
-10,20,35,False
-10,25,-35,False
-10,25,-30,False
-10,25,-25,False
-10,25,-20,False
-10,25,-15,False
-10,25,-10,False
-10,25,-5,False
-10,25,0,False
-10,25,5,False
-10,25,10,False
-10,25,15,False
-10,25,20,False
-10,25,25,False
-10,25,30,False
-10,25,35,False
-10,30,-35,False
-10,30,-30,False
-10,30,-25,False
-10,30,-20,False
-10,30,-15,False
-10,30,-10,False
-10,30,-5,False
-10,30,0,False
-10,30,5,False
-10,30,10,False
-10,30,15,False
-10,30,20,False
-10,30,25,False
-10,30,30,False
-10,30,35,False
-10,35,-35,False
-10,35,-30,False
-10,35,-25,False
-10,35,-20,False
-10,35,-15,False
-10,35,-10,False
-10,35,-5,False
-10,35,0,False
-10,35,5,False
-10,35,10,False
-10,35,15,False
-10,35,20,False
-10,35,25,False
-10,35,30,False
-10,35,35,False
-5,-35,-35,False
-5,-35,-30,False
-5,-35,-25,False
-5,-35,-20,False
-5,-35,-15,False
-5,-35,-10,False
-5,-35,-5,False
-5,-35,0,False
-5,-35,5,False
-5,-35,10,False
-5,-35,15,False
-5,-35,20,False
-5,-35,25,False
-5,-35,30,False
-5,-35,35,False
-5,-30,-35,False
-5,-30,-30,True
-5,-30,-25,True
-5,-30,-20,True
-5,-30,-15,True
-5,-30,-10,False
-5,-30,-5,False
-5,-30,0,False
-5,-30,5,False
-5,-30,10,False
-5,-30,15,False
-5,-30,20,False
-5,-30,25,False
-5,-30,30,False
-5,-30,35,False
-5,-25,-35,False
-5,-25,-30,True
-5,-25,-25,True
-5,-25,-20,True
-5,-25,-15,True
-5,-25,-10,True
-5,-25,-5,True
-5,-25,0,True
-5,-25,5,True
-5,-25,10,False
-5,-25,15,False
-5,-25,20,False
-5,-25,25,False
-5,-25,30,False
-5,-25,35,False
-5,-20,-35,False
-5,-20,-30,True
-5,-20,-25,True
-5,-20,-20,True
